,nazev_skoly,mc,id,poskytovani_vzdelani,volna_mista,deti_ze_spadove_oblasti,podanych_zadosti,prijatych_zaku,neprijatych_zaku,individualni_dochazka,prerusenych_rizeni
43,"Mateřská škola Brno, Šromova 55, příspěvková organizace",chrlice,43,Šromova 55,143,23,75,0,0,0,0
44,"Mateřská škola Brno, Švermova 11, příspěvková organizace",bohunice,44,Švermova 11,144,24,87,0,0,0,0
45,"Mateřská škola Brno, Tišnovská 169, příspěvková organizace",sever,45,Tišnovská 169,145,53,89,0,0,0,0
46,"Mateřská škola Brno, Tučkova 36, příspěvková organizace",stred,46,Tučkova 36,146,34,98,0,0,0,0
47,"Mateřská škola Brno, U Lípy Svobody 3, příspěvková organizace",turany,47,U Lípy Svobody 3,147,11,66,0,0,0,0
48,"Mateřská škola Brno, Údolní 68, příspěvková organizace",stred,48,Údolní 155/68,148,14,146,0,0,0,0
49,"Mateřská škola Brno, ulice Kosmonautů 2, příspěvková organizace",stary_liskovec,49,Ulice Kosmonautů 2,149,22,79,0,0,0,0
50,"Mateřská škola Brno, Úvoz 57, příspěvková organizace",stred,50,Úvoz 57,150,53,123,1,0,1,0
51,"Mateřská škola Brno, Uzbecká 30, příspěvková organizace",bohunice,51,Uzbecká 569/30,151,21,82,0,0,0,0
52,"Mateřská škola Brno, V Aleji 2, příspěvková organizace",turany,52,V Aleji 2/101,152,11,19,1,0,0,0
